14.03.2018  16:56:46	SNEM	16:58:03	00:01:17	77	00:24:10	1450
14.03.2018  16:58:03	SNEM	16:58:39	00:00:36	36	00:24:46	1486
14.03.2018  16:58:39	SNEM	16:59:10	00:00:31	31	00:25:17	1517
14.03.2018  16:59:11	SNEM	17:00:08	00:00:57	57	00:26:14	1574
14.03.2018  17:00:08	SNEM	17:05:12	00:05:04	304	00:31:18	1878
14.03.2018  17:05:13	SNEM	17:06:03	00:00:50	50	00:32:08	1928
14.03.2018  17:06:03	SNEM	17:11:13	00:05:10	310	00:37:18	2238
15.03.2018  10:23:14	SNEM	10:28:00	00:04:46	286	00:42:04	2524
15.03.2018  10:28:01	SNEM	10:29:38	00:01:37	97	00:43:41	2621
15.03.2018  10:29:38	SNEM	10:35:54	00:06:16	376	00:49:57	2997
15.03.2018  10:35:54	SNEM	10:40:00	00:04:06	246	00:54:03	3243
15.03.2018  10:40:00	SNEM	10:41:41	00:01:41	101	00:55:44	3344
15.03.2018  10:41:42	SNEM	10:42:24	00:00:42	42	00:56:26	3386
15.03.2018  10:42:24	SNEM	10:43:22	00:00:58	58	00:57:24	3444
15.03.2018  10:43:22	SNEM	10:45:32	00:02:10	130	00:59:34	3574
15.03.2018  10:45:32	SNEM	10:49:51	00:04:19	259	01:03:53	3833
15.03.2018  10:49:51	SNEM	10:54:58	00:05:07	307	01:09:00	4140
15.03.2018  10:55:12	SNEM	11:00:56	00:05:44	344	01:14:44	4484
15.03.2018  11:00:56	SNEM	11:05:08	00:04:12	252	01:18:56	4736
15.03.2018  11:05:09	SNEM	11:25:39	00:20:30	1230	01:39:26	5966
15.03.2018  14:33:45	SNEM	14:37:11	00:03:26	206	01:42:52	6172
15.03.2018  14:37:11	SNEM	14:43:44	00:06:33	393	01:49:25	6565
15.03.2018  14:43:44	SNEM	14:47:13	00:03:29	209	01:52:54	6774
15.03.2018  14:47:13	SNEM	14:49:14	00:02:01	121	01:54:55	6895
15.03.2018  14:49:14	SNEM	14:50:51	00:01:37	97	01:56:32	6992
